Timestamp,Stimulus,Action,Correct,Reaction_Time_ms
2025-07-12 12:35:22,Go,No Shot,No,
2025-07-12 12:35:22,No-Go,No Shot,Yes,
2025-07-12 12:35:23,Go,No Shot,No,
2025-07-12 12:35:23,Go,No Shot,No,
2025-07-12 12:35:24,Go,No Shot,No,
2025-07-12 12:35:24,Go,No Shot,No,
2025-07-12 12:35:25,Go,No Shot,No,
2025-07-12 12:35:25,No-Go,No Shot,Yes,
2025-07-12 12:35:25,Go,No Shot,No,
2025-07-12 12:35:26,Go,No Shot,No,
2025-07-12 12:35:26,No-Go,No Shot,Yes,
2025-07-12 12:36:03,No-Go,Shoot,No,2633
2025-07-12 12:36:05,No-Go,Shoot,No,1763
2025-07-12 12:36:06,No-Go,Shoot,No,1490
2025-07-12 12:36:06,Go,No Shot,No,
2025-07-12 12:36:07,Go,No Shot,No,
2025-07-12 12:36:07,No-Go,Shoot,No,1413
2025-07-12 12:36:08,Go,Shoot,Yes,2876
2025-07-12 12:36:09,Go,Shoot,Yes,2071
2025-07-12 12:36:10,Go,Shoot,Yes,2073
2025-07-12 12:36:10,Go,Shoot,Yes,1980
2025-07-12 12:36:12,Go,Shoot,Yes,2176
2025-07-12 12:36:13,No-Go,No Shot,Yes,
2025-07-12 12:36:13,Go,Shoot,Yes,2290
2025-07-12 12:36:14,Go,Shoot,Yes,2062
2025-07-12 12:36:14,Go,Shoot,Yes,1990
2025-07-12 12:36:15,Go,Shoot,Yes,1922
2025-07-12 12:36:16,Go,Shoot,Yes,1987
2025-07-12 12:36:17,Go,No Shot,No,
2025-07-12 12:36:18,No-Go,No Shot,Yes,
2025-07-12 12:36:18,Go,No Shot,No,
2025-07-12 12:36:19,No-Go,No Shot,Yes,
2025-07-12 12:36:19,Go,No Shot,No,
2025-07-12 12:36:20,Go,No Shot,No,
2025-07-12 12:36:20,Go,No Shot,No,
2025-07-12 12:36:21,No-Go,No Shot,Yes,
2025-07-12 12:36:21,Go,No Shot,No,
2025-07-12 12:36:22,Go,No Shot,No,
2025-07-12 12:36:22,No-Go,No Shot,Yes,
2025-08-12 15:26:23,Go,Shoot,Yes,3613
2025-08-12 15:26:24,Go,No Shot,No,
2025-08-12 15:26:24,Go,Shoot,Yes,2697
2025-08-12 15:26:25,Go,Shoot,Yes,2402
2025-08-12 15:26:25,No-Go,No Shot,Yes,
2025-08-12 15:26:25,Go,Shoot,Yes,2050
2025-08-12 15:26:26,Go,Shoot,Yes,1808
2025-08-12 15:26:27,Go,Shoot,Yes,1743
2025-08-12 15:26:56,Go,No Shot,No,
2025-08-12 15:26:56,Go,No Shot,No,
2025-08-12 15:26:57,Go,No Shot,No,
2025-08-12 15:26:58,Go,No Shot,No,
2025-08-12 15:26:59,No-Go,No Shot,Yes,
2025-08-12 15:26:59,No-Go,No Shot,Yes,
2025-08-12 15:27:00,No-Go,No Shot,Yes,
2025-08-12 15:27:01,Go,No Shot,No,
2025-08-12 15:27:02,No-Go,No Shot,Yes,
2025-08-12 15:27:02,No-Go,No Shot,Yes,
2025-08-12 15:27:03,Go,No Shot,No,
2025-08-12 15:27:04,No-Go,No Shot,Yes,
2025-08-12 15:27:04,Go,No Shot,No,
2025-08-12 15:27:04,Go,Shoot,Yes,1872
2025-08-12 15:27:05,Go,No Shot,No,
2025-08-12 15:27:05,No-Go,Shoot,No,1291
2025-08-12 15:27:06,No-Go,Shoot,No,1244
2025-08-12 15:27:06,No-Go,No Shot,Yes,
2025-08-12 15:27:07,Go,Shoot,Yes,1390
2025-08-12 15:27:08,Go,Shoot,Yes,1242
2025-08-12 15:27:08,Go,Shoot,Yes,1300
2025-08-12 15:27:08,No-Go,No Shot,Yes,
2025-08-12 15:27:09,Go,Shoot,Yes,1253
2025-08-12 15:27:09,Go,Shoot,Yes,1253
2025-08-12 15:27:10,No-Go,Shoot,No,1184
2025-08-12 15:27:10,Go,Shoot,Yes,1119
2025-08-12 15:27:11,Go,Shoot,Yes,1270
2025-08-12 15:27:12,No-Go,No Shot,Yes,
2025-08-12 15:27:13,Go,Shoot,Yes,1733
2025-08-12 15:27:13,No-Go,No Shot,Yes,
2025-08-12 15:27:13,Go,Shoot,Yes,1760
2025-08-12 15:27:14,Go,No Shot,No,
2025-08-12 15:27:14,Go,Shoot,Yes,2028
2025-08-12 15:27:15,Go,No Shot,No,
2025-08-12 15:27:15,Go,Shoot,Yes,1631
2025-08-12 15:27:15,No-Go,No Shot,Yes,
2025-08-12 15:27:16,Go,Shoot,Yes,1814
2025-08-12 15:27:16,Go,Shoot,Yes,1799
2025-08-12 15:27:16,Go,Shoot,Yes,1730
2025-08-12 15:27:17,Go,No Shot,No,
2025-08-12 15:27:17,Go,No Shot,No,
2025-08-12 15:27:17,Go,No Shot,No,
2025-08-12 15:27:17,Go,Shoot,Yes,1771
2025-08-12 15:27:18,Go,No Shot,No,
2025-08-12 15:27:18,No-Go,No Shot,Yes,
2025-08-12 15:27:18,Go,Shoot,Yes,1835
2025-08-12 15:27:19,No-Go,No Shot,Yes,
2025-08-12 15:27:19,No-Go,No Shot,Yes,
2025-08-12 15:27:19,Go,Shoot,Yes,1803
2025-08-12 15:27:19,Go,Shoot,Yes,1857
2025-08-12 15:27:20,Go,No Shot,No,
2025-08-12 15:27:20,Go,No Shot,No,
2025-08-12 15:27:20,Go,No Shot,No,
2025-08-12 15:27:20,Go,No Shot,No,
2025-08-12 15:27:21,Go,Shoot,Yes,1600
2025-08-12 15:27:21,Go,No Shot,No,
2025-08-12 15:27:21,Go,No Shot,No,
2025-08-12 15:27:21,Go,Shoot,Yes,1161
2025-08-12 15:27:21,No-Go,No Shot,Yes,
2025-08-12 15:27:22,No-Go,No Shot,Yes,
2025-08-12 15:27:22,Go,No Shot,No,
2025-08-12 15:27:22,Go,No Shot,No,
2025-08-12 15:27:22,Go,No Shot,No,
2025-08-12 15:27:23,Go,No Shot,No,
2025-08-12 15:27:23,No-Go,No Shot,Yes,
2025-08-12 15:27:23,Go,No Shot,No,
2025-08-12 15:27:23,Go,No Shot,No,
2025-08-12 15:27:24,No-Go,No Shot,Yes,
2025-08-12 15:27:24,Go,No Shot,No,
2025-08-12 15:27:24,Go,No Shot,No,
2025-08-12 15:27:24,No-Go,No Shot,Yes,
2025-08-12 15:27:24,No-Go,No Shot,Yes,
2025-08-12 15:27:25,Go,No Shot,No,
2025-08-12 15:27:25,Go,No Shot,No,
2025-08-12 15:27:25,No-Go,No Shot,Yes,
2025-08-12 15:27:25,Go,No Shot,No,
2025-08-12 15:27:25,No-Go,No Shot,Yes,
2025-08-12 15:28:07,Go,Shoot,Yes,1213
2025-08-12 15:28:08,Go,Shoot,Yes,997
2025-08-12 15:28:10,No-Go,Shoot,No,1287
2025-08-12 15:28:10,No-Go,Shoot,No,1127
2025-08-12 15:28:11,Go,Shoot,Yes,905
2025-08-12 15:28:12,Go,Shoot,Yes,824
2025-08-12 15:28:13,Go,Shoot,Yes,1044
2025-08-12 15:28:15,No-Go,Shoot,No,1120
2025-08-12 15:28:17,No-Go,No Shot,Yes,
2025-08-12 15:28:18,No-Go,No Shot,Yes,
2025-08-12 15:28:18,Go,Shoot,Yes,1086
2025-08-12 15:28:19,Go,No Shot,No,
2025-08-12 15:28:19,Go,Shoot,Yes,1238
2025-08-12 15:28:20,No-Go,No Shot,Yes,
2025-08-12 15:28:20,Go,Shoot,Yes,1165
2025-08-12 15:28:20,Go,Shoot,Yes,1150
2025-08-12 15:28:22,Go,Shoot,Yes,1889
2025-08-12 15:28:23,Go,Shoot,Yes,1517
2025-08-12 15:28:23,No-Go,No Shot,Yes,
2025-08-12 15:28:24,Go,Shoot,Yes,1637
2025-08-12 15:28:25,Go,Shoot,Yes,2054
2025-08-12 15:28:25,Go,No Shot,No,
2025-08-12 15:28:26,Go,Shoot,Yes,2348
2025-08-12 15:28:27,Go,No Shot,No,
2025-08-12 15:28:27,Go,Shoot,Yes,2023
2025-08-12 15:28:27,Go,Shoot,Yes,1953
2025-08-12 15:28:28,No-Go,No Shot,Yes,
2025-08-12 15:28:28,Go,Shoot,Yes,1788
2025-08-12 15:28:29,Go,Shoot,Yes,1779
2025-08-12 15:28:29,Go,No Shot,No,
2025-08-12 15:28:30,No-Go,No Shot,Yes,
2025-08-12 15:28:30,Go,Shoot,Yes,2046
2025-08-12 15:28:31,No-Go,No Shot,Yes,
2025-08-12 15:28:31,No-Go,No Shot,Yes,
2025-08-12 15:28:31,Go,Shoot,Yes,1452
2025-08-12 15:28:32,No-Go,No Shot,Yes,
2025-08-12 15:28:32,Go,No Shot,No,
2025-08-12 15:28:33,Go,Shoot,Yes,1552
